source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
CATERPILLAR,AECOM,0.060026,0.060026,1,0,0,1,1
AECOM,CENTENE,0.000251,0.000501,0,0,2,2,0
CENTENE,AECOM,0.000251,0.000501,0,0,2,2,0
AECOM,CHEMOURS,0.026126,0.034835,1,0,1,2,1
CHEMOURS,AECOM,0.008709,0.034835,0,1,1,2,-1
AECOM,CISCO SYSTEMS,0.000521,0.001042,0,0,1,1,0
CISCO SYSTEMS,AECOM,0.000521,0.001042,0,0,1,1,0
AECOM,CONOCOPHILLIPS,0.007217,0.014433,0,0,2,2,0
CONOCOPHILLIPS,AECOM,0.007217,0.014433,0,0,2,2,0
AECOM,CORNING,0.029415,0.035299,2,0,1,3,2
CORNING,AECOM,0.005883,0.035299,0,2,1,3,-2
AECOM,CSX,0.007848,0.011771,1,0,2,3,1
CSX,AECOM,0.003924,0.011771,0,1,2,3,-1
AECOM,CUMMINS,0.030685,0.061371,1,1,3,5,0
CUMMINS,AECOM,0.030685,0.061371,1,1,3,5,0
AECOM,DELTA AIR LINES,0.096261,0.168457,1,0,6,7,1
