source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
AECOM,EVERSOURCE ENERGY,5.233302482472813e-05,0.0004528985507246,1,0.024231,0.0047687391693702
AECOM,FACEBOOK,6.494630733543415e-06,0.0004528985507246,1,0.003146,0.0045582150857168
AECOM,FEDEX,0.05781731948837522,0.0018115942028985,4,0.214974,0.1484605596843526
AECOM,FIRSTENERGY,1.536271800219382e-05,0.0009057971014492,2,0.034101,0.0004973590415068
AECOM,FLUOR,0.0167324161270009,0.0013586956521739,3,0.192647,0.0639255128264275
AECOM,FORD,0.0013132962024433564,0.0004528985507246,1,0.079371,0.0365342255357142
AECOM,GENERAL DYNAMICS,0.051674543843149484,0.0036231884057971,8,0.151714,0.0940069743115946
AECOM,GENERAL ELECTRIC,0.003898931826999354,0.004981884057971,11,0.056008,0.0139733958038699
AECOM,GILEAD SCIENCES,1.625223294460967e-05,0.0004528985507246,1,0.006387,0.0056184328075311
AECOM,GRAPHIC PACKAGING HOLDING,0.001305999168893562,0.0004528985507246,1,0.064577,0.0446543841447764
AECOM,HEWLETT PACKARD ENTERPRISE,8.818880534553058e-05,0.0009057971014492,2,0.043289,0.0022490803922815
AECOM,HOLLYFRONTIER,0.04044472202291307,0.0009057971014492,2,0.36454,0.1224857988514285
AECOM,HOME DEPOT,2.7641972510726238e-05,0.0004528985507246,1,0.034842,0.0017517213507746
AECOM,HONEYWELL INTERNATIONAL,0.09081204577704002,0.0018115942028985,4,0.314382,0.1594501252264045
AECOM,JACOBS ENGINEERING GROUP,0.01232355198536377,0.0018115942028985,4,0.114002,0.0596708890714285
AECOM,LABORATORY CORP. OF AMERICA,5.02089032159978e-05,0.0009057971014492,2,0.013978,0.0039655622514284
AECOM,LEIDOS HOLDINGS,0.01765996658221028,0.0045289855072463,10,0.112528,0.0346520032467661
AECOM,LIBERTY MUTUAL INSURANCE GROUP,4.1237363700487226e-05,0.0004528985507246,1,0.013789,0.0066032416455641
AECOM,LOCKHEED MARTIN,0.005917140278080355,0.0036231884057971,8,0.102606,0.0159165225888367
AECOM,MAGELLAN HEALTH,7.009471311380583e-06,0.0009057971014492,2,0.005074,0.0015251194969974
AECOM,MICRON TECHNOLOGY,0.006377897151425351,0.0009057971014492,2,0.126892,0.0554896956086607
AECOM,NORTHROP GRUMMAN,0.05396101510256093,0.0031702898550724,7,0.168886,0.1007830483677552
AECOM,ORACLE,0.00022670536555621898,0.0009057971014492,2,0.032946,0.007596756012083
AECOM,OWENS CORNING,2.1209549053181917e-05,0.0004528985507246,1,0.014774,0.003169804000909
AECOM,PPG INDUSTRIES,0.027387480911873863,0.0031702898550724,7,0.105155,0.082152954962292
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.0002563929889128517,0.0013586956521739,3,0.029753,0.0063423937028152
AECOM,RAYTHEON,0.0394464074698717,0.0045289855072463,10,0.149144,0.0583983718376054
AECOM,SOUTHERN,0.0003789806296964582,0.0009057971014492,2,0.018418,0.0227166150062398
AECOM,SOUTHWEST AIRLINES,0.011194040713746927,0.0022644927536231,5,0.129672,0.0381214786475942
AECOM,STANLEY BLACK & DECKER,0.00018288193206520076,0.0004528985507246,1,0.030773,0.0131219999999999
AECOM,TESLA,0.001871035882693139,0.0004528985507246,1,0.084804,0.0487152401889863
AECOM,TEXTRON,0.0018622133100611117,0.0013586956521739,3,0.100996,0.0135707255357142
AECOM,UNION PACIFIC,0.0005804811962803098,0.0036231884057971,8,0.056652,0.0028280168427128
AECOM,UNITED AIRLINES HOLDINGS,0.0074702457100629645,0.0031702898550724,7,0.124707,0.0188949211555536
AECOM,UNITED TECHNOLOGIES,0.061640845233695604,0.0040760869565217,9,0.127047,0.1190311776796524
AECOM,WESTROCK,0.0004044591033378647,0.0004528985507246,1,0.05886,0.0151723700334706
AECOM,WEYERHAEUSER,0.009078866198493296,0.0004528985507246,1,0.208377,0.0962012917273733
AES,AMERICAN AIRLINES GROUP,0.0009804631548056971,0.0013586956521739,3,0.150873,0.004782969
AES,ARAMARK,9.147861452444891e-06,0.0004528985507246,1,0.004223,0.004782969
AES,CHS,0.0003419707304347503,0.0004528985507246,1,0.099456,0.0075920142857142
AES,CMS ENERGY,0.0363699334629836,0.0031702898550724,7,0.165037,0.0695123890714285
AES,DELTA AIR LINES,0.0010366792870535823,0.0009057971014492,2,0.106349,0.01076168025
AES,DTE ENERGY,0.07958979212632172,0.0031702898550724,7,0.171852,0.1460843890714285
AES,DUKE ENERGY,0.019221160843823196,0.0018115942028985,4,0.17781,0.0596708890714285
AES,ECOLAB,0.00025140737827564755,0.0004528985507246,1,0.030245,0.0183536945357142
AES,EDISON INTERNATIONAL,0.0001699399933318473,0.0004528985507246,1,0.034867,0.01076168025
AES,ENTERGY,0.00449424457636966,0.0022644927536231,5,0.108134,0.0183536945357142
AES,EVERSOURCE ENERGY,0.006842567331883226,0.0022644927536231,5,0.194387,0.01554464925
AES,EXXONMOBIL,0.0001931253705733535,0.0004528985507246,1,0.039624,0.01076168025
AES,FEDEX,0.006670705967784564,0.0009057971014492,2,0.178242,0.0413171945357142
