source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
AES,PPL,0.114434,1,1,0,2,0,1
AES,REINSURANCE GROUP OF AMERICA,0.082184,0,0,2,2,0,1
REPUBLIC SERVICES,AES,0.122905,1,0,0,1,1,0
AES,ROCKWELL COLLINS,0.003733,0,0,1,1,0,1
SOUTHERN,AES,0.009892,1,0,0,1,1,0
SUNTRUST BANKS,AES,0.1,1,0,0,1,1,0
TRAVELERS,AES,0.001641,1,0,0,1,1,0
AES,U.S. BANCORP,0.022108,1,0,0,1,1,0
AES,VISA,0.020444,1,1,1,3,0,1
WASTE MANAGEMENT,AES,0.21375,1,0,0,1,1,0
WEC ENERGY GROUP,AES,0.288565,1,0,0,1,1,0
AES,XEROX,0.034835,1,0,0,1,1,0
ALLSTATE,AFLAC,0.001647,2,0,1,3,2,0
AFLAC,ALLY FINANCIAL,0.145133,0,0,2,2,0,1
ALPHABET,AFLAC,0.001201,1,0,0,1,1,0
AFLAC,AMAZON,0.000752,0,0,2,2,0,1
AFLAC,AMERICAN AIRLINES GROUP,0.007931,0,0,1,1,0,1
AFLAC,AMERICAN ELECTRIC POWER,0.000924,0,0,1,1,0,1
AFLAC,AMERICAN EXPRESS,0.000517,0,0,1,1,0,1
AFLAC,AMERICAN FAMILY INSURANCE GROUP,0.048342,1,0,4,5,1,0
AMERIPRISE FINANCIAL,AFLAC,0.085484,1,0,2,3,1,0
AFLAC,ANADARKO PETROLEUM,0.032323,0,0,1,1,0,1
AFLAC,APPLE,0.183549,0,0,1,1,0,1
AFLAC,ASSURANT,0.002631,1,0,0,1,1,0
AFLAC,AT&T,0.003148,0,0,1,1,0,1
BALL,AFLAC,0.001967,1,0,0,1,1,0
AFLAC,BANK OF AMERICA,0.034883,0,0,2,2,0,1
AFLAC,BAXTER INTERNATIONAL,0.010023,1,0,0,1,1,0
AFLAC,BECTON DICKINSON,0.010552,1,0,0,1,1,0
AFLAC,BOEING,0.084599,0,0,1,1,0,1
BRISTOL-MYERS SQUIBB,AFLAC,0.337218,2,0,1,3,2,0
AFLAC,CAPITAL ONE FINANCIAL,0.079071,0,0,3,3,0,1
CATERPILLAR,AFLAC,0.002745,2,0,0,2,2,0
AFLAC,CENTERPOINT ENERGY,0.000247,0,0,1,1,0,1
AFLAC,CHARLES SCHWAB,0.000843,0,0,1,1,0,1
AFLAC,CHESAPEAKE ENERGY,0.000954,1,0,0,1,1,0
CISCO SYSTEMS,AFLAC,0.002611,2,0,0,2,2,0
AFLAC,CITIGROUP,0.014317,1,1,1,3,0,1
COCA-COLA,AFLAC,0.004711,3,0,0,3,3,0
CONSOLIDATED EDISON,AFLAC,0.001967,1,0,0,1,1,0
AFLAC,DELTA AIR LINES,0.012708,0,0,1,1,0,1
AFLAC,DISCOVER FINANCIAL SERVICES,0.026734,1,0,0,1,1,0
AFLAC,DTE ENERGY,0.003967,0,0,1,1,0,1
DUPONT DE NEMOURS,AFLAC,0.001967,1,0,0,1,1,0
AFLAC,EXELON,0.045909,0,0,1,1,0,1
AFLAC,FEDEX,0.002424,0,0,1,1,0,1
AFLAC,FIFTH THIRD BANCORP,6.7e-05,1,0,0,1,1,0
AFLAC,FIRSTENERGY,0.012708,0,0,1,1,0,1
GENERAL MOTORS,AFLAC,0.001349,2,0,0,2,2,0
AFLAC,HARTFORD FINANCIAL SERVICES,0.047605,1,0,3,4,1,0
IBM,AFLAC,0.004711,2,0,1,3,2,0
IHEARTMEDIA,AFLAC,0.002745,2,0,0,2,2,0
INTEL,AFLAC,0.002745,2,0,0,2,2,0
INTERNATIONAL PAPER,AFLAC,0.001345,2,0,0,2,2,0
JOHNSON & JOHNSON,AFLAC,0.002493,1,0,0,1,1,0
AFLAC,LIBERTY MUTUAL INSURANCE GROUP,0.026981,2,0,0,2,2,0
