firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
ENERGY TRANSFER,0,0.011366,-1.5217,0.6546,0.000851,0.012794,non_hub_connector
WORLD FUEL SERVICES,2,0.009948,-2.3614,0.2901,0.000755,0.01322,peripheral
SPIRIT AEROSYSTEMS HOLDINGS,2,0.009948,-2.3614,0.2901,0.000755,0.01322,peripheral
JABIL,2,0.009948,-2.3614,0.2901,0.000755,0.01322,peripheral
C.H. ROBINSON WORLDWIDE,0,0.009157,-1.6814,0.2778,0.0005,0.010973,peripheral
MOLINA HEALTHCARE,4,0.007993,-2.2562,0.0,0.000506,0.009921,ultra_peripheral
PBF ENERGY,0,0.004827,-1.6814,0.2778,0.000604,0.010084,peripheral
MURPHY USA,0,0.004827,-1.6814,0.2778,0.000604,0.010084,peripheral
PHILIP MORRIS INTERNATIONAL,3,0.004734,-2.0527,0.8023,0.000606,0.012081,kinless
XPO LOGISTICS,0,0.004709,-1.7378,0.5805,0.000522,0.010271,peripheral
WINDSTREAM HOLDINGS,0,0.004338,-1.7591,0.0,0.000471,0.009845,ultra_peripheral
CLOROX,3,0.003936,-2.0216,0.0,0.000576,0.009973,ultra_peripheral
COLGATE-PALMOLIVE,3,0.003936,-2.0216,0.0,0.000576,0.009973,ultra_peripheral
UNUM GROUP,1,0.002836,-2.0397,0.5714,0.000605,0.010268,peripheral
W.R. BERKLEY,1,0.002836,-2.0397,0.5714,0.000605,0.010268,peripheral
NETAPP,0,0.002743,-1.798,0.0,0.000439,0.009574,ultra_peripheral
WYNN RESORTS,0,0.002725,-1.798,0.4444,0.000465,0.009823,peripheral
VOYA FINANCIAL,1,0.002,-2.1195,0.0,0.000442,0.009498,ultra_peripheral
